Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,8.711112,10.540446,8.580445,10.148446,5.994094,162393854
2002-02-01,10.104890,10.627557,9.451557,10.192001,6.019819,103592172
2002-03-01,10.017779,10.453335,9.669334,10.322668,6.096998,142162144
2002-04-01,10.322668,11.760001,9.451557,11.760001,6.945946,183609879
2002-05-01,11.760001,11.890668,10.584001,10.888890,6.431432,104434719
2002-06-01,10.845335,11.063112,9.930668,10.409779,6.171738,80932822
2002-07-01,10.409779,11.106668,9.669334,10.453335,6.197563,93304431
2002-08-01,10.584001,10.976001,9.016001,10.540446,6.249208,120869636
2002-09-01,10.496890,10.671112,8.754668,9.190223,5.448690,165633551
2002-10-01,9.190223,10.453335,9.190223,9.538668,5.732348,104161241
2002-11-01,9.756446,10.279112,9.364445,9.887112,5.941749,83121842
2002-12-01,9.887112,10.279112,9.233779,9.277334,5.575296,64582420
2003-01-01,9.277334,10.453335,9.190223,10.148446,6.098800,111007918
2003-02-01,10.148446,10.322668,9.408001,9.495112,5.706173,89294241
2003-03-01,9.582223,10.409779,8.188445,8.319112,4.999445,344531368
2003-04-01,8.362668,8.798223,7.186667,8.188445,4.920921,571364055
2003-05-01,8.188445,8.754668,7.752890,8.580445,5.156497,328658126
2003-06-01,8.624001,9.582223,8.580445,9.146668,5.657599,261944586
2003-07-01,9.146668,9.800001,9.059557,9.538668,5.900065,145896376
2003-08-01,9.625779,11.934224,9.364445,11.629335,7.193233,260617495
2003-09-01,11.760001,12.021335,10.453335,11.411557,7.058526,213061906
2003-10-01,11.411557,12.979557,11.063112,12.936002,8.019214,167691616
2003-11-01,12.936002,13.458668,11.847113,13.023113,8.073215,119139396
2003-12-01,13.066668,13.502224,12.369779,12.848890,7.965211,93182104
2004-01-01,12.848890,13.197335,12.064890,12.413335,7.695203,191665588
2004-02-01,12.195557,13.937780,11.803557,13.763557,8.532228,125558891
2004-03-01,13.807113,14.416891,12.892446,13.850668,8.586231,161121069
2004-04-01,13.937780,14.591113,11.934224,12.282668,7.614203,139376874
2004-05-01,12.195557,12.936002,10.976001,12.587557,7.803208,148177731
2004-06-01,12.587557,12.979557,11.803557,12.761779,8.065363,86720573
2004-07-01,12.761779,12.848890,11.934224,12.108446,7.652459,83683813
2004-08-01,11.934224,12.369779,10.888890,11.934224,7.542352,202562705
2004-09-01,12.021335,12.369779,11.324446,11.585779,7.322138,171476135
2004-10-01,11.585779,11.803557,11.237335,11.760001,7.540743,153683030
2004-11-01,11.716446,12.369779,11.629335,12.021335,7.708315,141695573
2004-12-01,11.934224,13.066668,11.934224,12.805335,8.211029,182568746
