Date,Pandemics Cases
Jan-02,0
Feb-02,0
Mar-02,0
Apr-02,0
May-02,0
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0
Oct-02,0
Nov-02,0
Dec-02,0
Jan-03,0
Feb-03,0
Mar-03,610
Apr-03,979
May-03,150
Jun-03,16
Jul-03,0
Aug-03,0
Sep-03,0
Oct-03,0
Nov-03,0
Dec-03,0
Jan-04,0
Feb-04,0
Mar-04,0
Apr-04,0
May-04,0
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,0
Oct-04,0
Nov-04,0
Dec-04,0
Jan-05,0
Feb-05,0
Mar-05,0
Apr-05,0
May-05,0
Jun-05,0
Jul-05,0
Aug-05,0
Sep-05,0
Oct-05,0
Nov-05,0
Dec-05,0
Jan-06,0
Feb-06,0
Mar-06,0
Apr-06,0
May-06,0
Jun-06,0
Jul-06,0
Aug-06,0
Sep-06,0
Oct-06,0
Nov-06,0
Dec-06,0
Jan-07,0
Feb-07,0
Mar-07,0
Apr-07,0
May-07,0
Jun-07,0
Jul-07,0
Aug-07,0
Sep-07,0
Oct-07,0
Nov-07,0
Dec-07,0
Jan-08,0
Feb-08,0
Mar-08,0
Apr-08,0
May-08,0
Jun-08,0
Jul-08,0
Aug-08,0
Sep-08,0
Oct-08,0
Nov-08,0
Dec-08,0
Jan-09,0
Feb-09,0
Mar-09,0
Apr-09,0
May-09,0
Jun-09,0
Jul-09,0
Aug-09,0
Sep-09,0
Oct-09,0
Nov-09,0
Dec-09,0
Jan-10,0
Feb-10,0
Mar-10,0
Apr-10,0
May-10,0
Jun-10,0
Jul-10,0
Aug-10,0
Sep-10,0
Oct-10,0
Nov-10,0
Dec-10,0
Jan-11,0
Feb-11,0
Mar-11,0
Apr-11,0
May-11,0
Jun-11,0
Jul-11,0
Aug-11,0
Sep-11,0
Oct-11,0
Nov-11,0
Dec-11,0
Jan-12,0
Feb-12,0
Mar-12,0
Apr-12,0
May-12,0
Jun-12,0
Jul-12,0
Aug-12,0
Sep-12,0
Oct-12,0
Nov-12,0
Dec-12,0
Jan-13,0
Feb-13,0
Mar-13,0
Apr-13,0
May-13,0
Jun-13,0
Jul-13,0
Aug-13,0
Sep-13,0
Oct-13,0
Nov-13,0
Dec-13,0
Jan-14,0
Feb-14,0
Mar-14,0
Apr-14,0
May-14,0
Jun-14,0
Jul-14,0
Aug-14,0
Sep-14,0
Oct-14,0
Nov-14,0
Dec-14,0
Jan-15,0
Feb-15,0
Mar-15,0
Apr-15,0
May-15,0
Jun-15,0
Jul-15,0
Aug-15,0
Sep-15,0
Oct-15,0
Nov-15,0
Dec-15,0
Jan-16,0
Feb-16,0
Mar-16,0
Apr-16,0
May-16,0
Jun-16,0
Jul-16,0
Aug-16,0
Sep-16,0
Oct-16,0
Nov-16,0
Dec-16,0
Jan-17,0
Feb-17,0
Mar-17,0
Apr-17,0
May-17,0
Jun-17,0
Jul-17,0
Aug-17,0
Sep-17,0
Oct-17,0
Nov-17,0
Dec-17,0
Jan-18,0
Feb-18,0
Mar-18,0
Apr-18,0
May-18,0
Jun-18,0
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,0
Nov-18,0
Dec-18,0
Jan-19,0
Feb-19,0
Mar-19,0
Apr-19,0
May-19,0
Jun-19,0
Jul-19,0
Aug-19,0
Sep-19,0
Oct-19,0
Nov-19,0
Dec-19,0
Jan-20,13
Feb-20,82
Mar-20,620
Apr-20,323
May-20,47
Jun-20,121
Jul-20,2066
Aug-20,1539
Sep-20,277
Oct-20,236
Nov-20,991
Dec-20,2532
Jan-21,1606
Feb-21,553
Mar-21,459
Apr-21,305
May-21,67
Jun-21,82
Jul-21,61
Aug-21,128
Sep-21,110
Oct-21,129
Nov-21,90
Dec-21,213
Jan-22,1554
Feb-22,261448
Mar-22,881000
Apr-22,143264
May-22,58499
Jun-22,69378
Jul-22,128663
Aug-22,198921
Sep-22,235224
Oct-22,156204
Nov-22,200423
Dec-22,508284
Jan-23,251137
Feb-23,445
Mar-23,126
Apr-23,320
May-23,1196
Jun-23,937
Jul-23,391
Aug-23,195
Sep-23,236
Oct-23,195
Nov-23,76
Dec-23,53
